254.7,-65,1275.7
64.2,-65, 957.5
-129.5,-65, 1275.7
-150.2,-65,1275.7
63.8,-65,917.6
284.7,-65,1275.7
254.7,-70, 1275.7
64.2,-70, 957.5
-129.5,-70, 1275.7
-96.7,-70, 1275.7
63.5,-70,1023
224.3,-70, 1275.7
224.3,-75, 1275.7
63.5,-75,1023
-96.7,-75, 1275.7
-65.2,-75, 1275.7
62,-75, 1084.4
191.6,-75,1277
191.6,-80,1277
62,-80, 1084.4
-96.7,-80, 1275.7
-32.8,-80, 1275.7
63.1,-80, 1146.9
159.8,-80, 1275.7
-32.8,-85, 1275.7
63.1,-85, 1146.9
159.8,-85, 1275.7
-0.7,-85, 1275.7
63.2,-85,1215
127.7,-85, 1275.7
127.7,-90, 1275.7
63.2,-90,1215
-0.7,-90, 1275.7
127.7,-92, 1275.7
-0.7,-92, 1275.7
127.7,-92,1309
3.2,-92,1309
-447.4,-77, 959.5
-321.2,-77,895
-316.4,-77, 882.6
-466.3,-77, 957.5
-702.7,-95, 616.7
-703.7,-95, 656.2
-623.9,-95, 759.7
-535.1,-95,800
-551.4,-95, 840.2
-640,-95, 856.9
-703.7,-95, 831.9
-767,-95, 769.2
-794.7,-95, 705.6
-831.8,-95, 671.6
-895.5,-95, 639.4
-919.5,-95, 568.5
-892.9,-95, 548.8
-879.3,-95, 584.9
-839.4,-95, 615.2
-775.9,-95, 616.1
-728.8,-95, 592.2
-703.7,-95, 544.9
-892.9,-107, 548.8
-879.3,-107, 584.9
-839.4,-107, 615.2
-775.9,-107, 616.1
-728.8,-107, 592.2
-703.7,-107, 544.9
-705.1,-107, 516.3
-888.3,-107, 517.8
-919.9,-60, 420.2
-989.4,-60,420.2
-1024.8,-60,384.8
-961.3,-60,316.9
-895.2,-60,317
-853.3,-60,384.5
-893,-60,448.3
-989.4,-45, 420.2
-1168.3,-45,419.9
-1089,-45,254
-898.2,-45,256.8
-704,-45,439.6
-708.5,-45,491
-889.1,-45,489.4
-893,-45,448.3
-856.2,-45,382.8
-895.7,-45,319.3
-960.1,-45,319.5
-1025,-45,383.8
-1169.2,-25,419.9
-1245.5,-25,474.7
-1091.5,-25,44
-502.4,-25,419.4
-701.1,-25,437.7
-896.9,-25,257.6
-1088.4,-25,257.5
-117.4,-60,833
252.1,-60, 837.7
288.2,-60, 872.1
-156.5,-60, 861.8
-990.5,-77,429.9
-991.6,-77,448.5
-928.6,-77,453.2
-920.8,-77,426.7
-443.5,-92,957.5
-443.5,-92,974.1
-323.2,-92,898.2
-323.2,-92,920.9
-677.9,-77,572.1
-646,-77,570.1
-462.4,-77,858.4
-808.7,-77,893.6
-971.6,-77,571.7
-922.2,-77,570.1
-896.2,-77,639.4
-832.6,-77,672.4
-792.8,-77,705.1
-767.5,-77,767.9
-704.9,-77,832.6
-640,-77,858.3
-551.4,-77,841.5
-531.6,-77,798.8
-620.2,-77,756.2
-696.1,-77,652.9
-696.1,-77,617.6
